#OTU ID	M03909
Otu1	303
Otu6	50
Otu4	35
Otu3	20
Otu8	17
Otu7	13
Otu19	12
Otu2	9
Otu26	6
Otu36	6
Otu164	5
Otu64	5
Otu165	5
Otu44	5
Otu138	4
Otu25	3
Otu32	3
Otu22	3
Otu35	3
Otu82	3
Otu100	3
Otu87	3
Otu73	2
Otu155	2
Otu9	2
Otu84	2
Otu34	2
Otu14	2
Otu132	2
Otu129	2
Otu21	2
Otu247	2
Otu33	2
Otu10	2
Otu145	2
Otu227	2
Otu200	2
Otu77	2
Otu142	2
Otu88	2
Otu78	2
Otu17	2
Otu16	2
Otu202	2
Otu125	2
Otu75	2
Otu29	2
Otu13	1
Otu150	1
Otu214	1
Otu157	1
Otu156	1
Otu223	1
Otu39	1
Otu18	1
Otu151	1
Otu149	1
Otu153	1
Otu83	1
Otu28	1
Otu198	1
Otu27	1
Otu197	1
Otu23	1
Otu90	1
Otu201	1
Otu11	1
Otu20	1
Otu12	1
Otu218	1
Otu15	1
Otu213	1
Otu93	1
Otu216	1
Otu92	1
Otu85	1
Otu159	1
Otu158	1
Otu212	1
Otu89	1
Otu24	1
Otu160	1
Otu215	1
Otu30	1
Otu61	1
Otu60	1
Otu110	1
Otu109	1
Otu238	1
Otu237	1
Otu123	1
Otu166	1
Otu170	1
Otu221	1
Otu37	1
Otu169	1
Otu167	1
Otu163	1
Otu108	1
Otu239	1
Otu98	1
Otu99	1
Otu96	1
Otu97	1
Otu126	1
Otu66	1
Otu95	1
Otu122	1
Otu57	1
Otu101	1
Otu59	1
Otu65	1
Otu240	1
Otu58	1
Otu168	1
Otu171	1
Otu94	1
Otu172	1
Otu42	1
Otu40	1
Otu105	1
Otu174	1
Otu225	1
Otu154	1
Otu152	1
Otu38	1
Otu161	1
Otu86	1
Otu226	1
Otu43	1
Otu103	1
Otu162	1
Otu219	1
Otu102	1
Otu112	1
Otu222	1
Otu111	1
Otu220	1
Otu224	1
Otu104	1
Otu175	1
Otu173	1
Otu106	1
Otu107	1
Otu41	1
Otu199	1
Otu120	1
Otu113	1
Otu55	1
Otu119	1
Otu51	1
Otu183	1
Otu56	1
Otu177	1
Otu54	1
Otu52	1
Otu114	1
Otu232	1
Otu233	1
Otu67	1
Otu50	1
Otu121	1
Otu184	1
Otu117	1
Otu118	1
Otu252	1
Otu250	1
Otu49	1
Otu48	1
Otu248	1
Otu249	1
Otu185	1
Otu178	1
Otu188	1
Otu124	1
Otu186	1
Otu236	1
Otu228	1
Otu63	1
Otu62	1
Otu229	1
Otu189	1
Otu230	1
Otu127	1
Otu187	1
Otu231	1
Otu116	1
Otu179	1
Otu115	1
Otu176	1
Otu53	1
Otu45	1
Otu191	1
Otu47	1
Otu46	1
Otu192	1
Otu190	1
Otu234	1
Otu235	1
Otu180	1
Otu208	1
Otu69	1
Otu137	1
Otu139	1
Otu140	1
Otu243	1
Otu245	1
Otu128	1
Otu133	1
Otu68	1
Otu206	1
Otu246	1
Otu130	1
Otu70	1
Otu71	1
Otu194	1
Otu217	1
Otu91	1
Otu195	1
Otu136	1
Otu244	1
Otu207	1
Otu72	1
Otu196	1
Otu134	1
Otu135	1
Otu210	1
Otu205	1
Otu143	1
Otu74	1
Otu255	1
Otu144	1
Otu204	1
Otu146	1
Otu182	1
Otu251	1
Otu76	1
Otu193	1
Otu147	1
Otu181	1
Otu242	1
Otu141	1
Otu209	1
Otu241	1
Otu211	1
Otu131	1
Otu80	1
Otu81	1
Otu253	1
Otu254	1
Otu79	1
Otu148	1
Otu203	1
