#OTU ID	M03909
Otu1	564
Otu2	111
Otu4	51
Otu3	35
Otu5	24
Otu20	16
Otu8	15
Otu13	14
Otu16	13
Otu6	13
Otu27	10
Otu11	10
Otu75	9
Otu185	9
Otu48	9
Otu33	9
Otu38	8
Otu142	7
Otu52	7
Otu53	6
Otu273	6
Otu9	6
Otu240	5
Otu264	5
Otu54	5
Otu389	4
Otu141	4
Otu213	4
Otu24	4
Otu40	4
Otu215	4
Otu55	4
Otu307	4
Otu49	3
Otu37	3
Otu196	3
Otu217	3
Otu143	3
Otu268	3
Otu119	3
Otu188	3
Otu256	3
Otu46	3
Otu47	3
Otu149	3
Otu22	2
Otu159	2
Otu205	2
Otu69	2
Otu7	2
Otu124	2
Otu105	2
Otu17	2
Otu30	2
Otu81	2
Otu225	2
Otu227	2
Otu284	2
Otu87	2
Otu157	2
Otu246	2
Otu161	2
Otu166	2
Otu10	2
Otu153	2
Otu220	2
Otu239	2
Otu117	2
Otu395	2
Otu45	2
Otu279	2
Otu58	2
Otu152	2
Otu43	2
Otu121	2
Otu260	2
Otu101	2
Otu60	2
Otu214	2
Otu32	2
Otu134	2
Otu150	2
Otu218	2
Otu238	2
Otu44	2
Otu211	2
Otu109	2
Otu115	2
Otu170	2
Otu137	1
Otu139	1
Otu140	1
Otu23	1
Otu253	1
Otu347	1
Otu254	1
Otu19	1
Otu59	1
Otu57	1
Otu348	1
Otu255	1
Otu138	1
Otu21	1
Otu346	1
Otu158	1
Otu34	1
Otu355	1
Otu28	1
Otu329	1
Otu356	1
Otu263	1
Otu352	1
Otu351	1
Otu154	1
Otu31	1
Otu332	1
Otu39	1
Otu15	1
Otu231	1
Otu331	1
Otu41	1
Otu29	1
Otu349	1
Otu330	1
Otu42	1
Otu354	1
Otu12	1
Otu163	1
Otu267	1
Otu160	1
Otu345	1
Otu156	1
Otu266	1
Otu265	1
Otu162	1
Otu343	1
Otu36	1
Otu35	1
Otu353	1
Otu26	1
Otu151	1
Otu262	1
Otu261	1
Otu14	1
Otu344	1
Otu25	1
Otu94	1
Otu168	1
Otu95	1
Otu280	1
Otu93	1
Otu91	1
Otu169	1
Otu171	1
Otu276	1
Otu50	1
Otu275	1
Otu190	1
Otu361	1
Otu269	1
Otu270	1
Otu362	1
Otu192	1
Otu271	1
Otu277	1
Otu278	1
Otu51	1
Otu189	1
Otu272	1
Otu387	1
Otu99	1
Otu96	1
Otu177	1
Otu98	1
Otu172	1
Otu173	1
Otu388	1
Otu175	1
Otu209	1
Otu174	1
Otu390	1
Otu165	1
Otu212	1
Otu100	1
Otu92	1
Otu210	1
Otu102	1
Otu97	1
Otu176	1
Otu178	1
Otu391	1
Otu167	1
Otu145	1
Otu144	1
Otu371	1
Otu146	1
Otu370	1
Otu283	1
Otu61	1
Otu372	1
Otu147	1
Otu62	1
Otu282	1
Otu65	1
Otu367	1
Otu56	1
Otu257	1
Otu252	1
Otu258	1
Otu366	1
Otu365	1
Otu66	1
Otu364	1
Otu259	1
Otu363	1
Otu360	1
Otu180	1
Otu179	1
Otu285	1
Otu357	1
Otu182	1
Otu191	1
Otu193	1
Otu183	1
Otu274	1
Otu184	1
Otu181	1
Otu368	1
Otu64	1
Otu148	1
Otu281	1
Otu369	1
Otu63	1
Otu187	1
Otu358	1
Otu286	1
Otu164	1
Otu186	1
Otu350	1
Otu197	1
Otu85	1
Otu384	1
Otu79	1
Otu287	1
Otu385	1
Otu206	1
Otu386	1
Otu290	1
Otu86	1
Otu288	1
Otu195	1
Otu88	1
Otu198	1
Otu313	1
Otu89	1
Otu292	1
Otu78	1
Otu291	1
Otu194	1
Otu80	1
Otu298	1
Otu378	1
Otu379	1
Otu380	1
Otu381	1
Otu383	1
Otu201	1
Otu299	1
Otu127	1
Otu202	1
Otu122	1
Otu83	1
Otu289	1
Otu204	1
Otu84	1
Otu82	1
Otu297	1
Otu123	1
Otu208	1
Otu207	1
Otu125	1
Otu301	1
Otu71	1
Otu392	1
Otu72	1
Otu302	1
Otu305	1
Otu303	1
Otu219	1
Otu300	1
Otu306	1
Otu393	1
Otu310	1
Otu397	1
Otu396	1
Otu308	1
Otu309	1
Otu74	1
Otu394	1
Otu73	1
Otu90	1
Otu311	1
Otu70	1
Otu318	1
Otu373	1
Otu317	1
Otu377	1
Otu314	1
Otu199	1
Otu312	1
Otu216	1
Otu68	1
Otu376	1
Otu374	1
Otu375	1
Otu316	1
Otu77	1
Otu304	1
Otu319	1
Otu320	1
Otu67	1
Otu315	1
Otu76	1
Otu126	1
Otu400	1
Otu224	1
Otu401	1
Otu340	1
Otu114	1
Otu222	1
Otu112	1
Otu405	1
Otu339	1
Otu223	1
Otu113	1
Otu104	1
Otu228	1
Otu229	1
Otu341	1
Otu226	1
Otu399	1
Otu221	1
Otu398	1
Otu402	1
Otu338	1
Otu321	1
Otu324	1
Otu110	1
Otu403	1
Otu111	1
Otu232	1
Otu323	1
Otu322	1
Otu18	1
Otu230	1
Otu328	1
Otu233	1
Otu406	1
Otu404	1
Otu234	1
Otu326	1
Otu327	1
Otu236	1
Otu325	1
Otu235	1
Otu237	1
Otu133	1
Otu244	1
Otu132	1
Otu243	1
Otu245	1
Otu136	1
Otu135	1
Otu336	1
Otu131	1
Otu335	1
Otu295	1
Otu294	1
Otu293	1
Otu203	1
Otu118	1
Otu200	1
Otu242	1
Otu241	1
Otu296	1
Otu120	1
Otu382	1
Otu249	1
Otu409	1
Otu248	1
Otu116	1
Otu106	1
Otu408	1
Otu107	1
Otu342	1
Otu108	1
Otu247	1
Otu128	1
Otu250	1
Otu411	1
Otu251	1
Otu337	1
Otu407	1
Otu130	1
Otu334	1
Otu129	1
Otu410	1
Otu333	1
