#OTU ID	M03909
Otu4	35
Otu30	20
Otu5	20
Otu3	16
Otu2	14
Otu17	8
Otu136	8
Otu28	7
Otu9	6
Otu14	6
Otu37	5
Otu33	5
Otu7	5
Otu67	4
Otu92	4
Otu12	4
Otu46	4
Otu56	4
Otu6	4
Otu168	3
Otu53	3
Otu103	3
Otu83	2
Otu173	2
Otu15	2
Otu87	2
Otu111	2
Otu110	2
Otu66	2
Otu96	2
Otu55	2
Otu170	2
Otu8	2
Otu107	2
Otu141	2
Otu10	2
Otu171	2
Otu139	2
Otu89	2
Otu105	2
Otu19	2
Otu77	1
Otu88	1
Otu70	1
Otu68	1
Otu151	1
Otu69	1
Otu177	1
Otu31	1
Otu71	1
Otu106	1
Otu120	1
Otu156	1
Otu157	1
Otu79	1
Otu11	1
Otu13	1
Otu158	1
Otu76	1
Otu81	1
Otu155	1
Otu119	1
Otu32	1
Otu78	1
Otu121	1
Otu80	1
Otu82	1
Otu22	1
Otu130	1
Otu90	1
Otu122	1
Otu29	1
Otu116	1
Otu132	1
Otu21	1
Otu167	1
Otu98	1
Otu84	1
Otu27	1
Otu86	1
Otu161	1
Otu162	1
Otu99	1
Otu91	1
Otu26	1
Otu85	1
Otu129	1
Otu74	1
Otu73	1
Otu36	1
Otu152	1
Otu154	1
Otu34	1
Otu115	1
Otu35	1
Otu75	1
Otu72	1
Otu117	1
Otu114	1
Otu23	1
Otu93	1
Otu118	1
Otu159	1
Otu160	1
Otu166	1
Otu25	1
Otu24	1
Otu108	1
Otu48	1
Otu50	1
Otu95	1
Otu49	1
Otu47	1
Otu100	1
Otu51	1
Otu133	1
Otu39	1
Otu42	1
Otu135	1
Otu149	1
Otu143	1
Otu172	1
Otu40	1
Otu94	1
Otu38	1
Otu134	1
Otu124	1
Otu123	1
Otu126	1
Otu138	1
Otu163	1
Otu131	1
Otu137	1
Otu125	1
Otu128	1
Otu140	1
Otu127	1
Otu44	1
Otu45	1
Otu102	1
Otu164	1
Otu101	1
Otu142	1
Otu43	1
Otu144	1
Otu181	1
Otu18	1
Otu57	1
Otu59	1
Otu52	1
Otu58	1
Otu182	1
Otu16	1
Otu178	1
Otu176	1
Otu20	1
Otu146	1
Otu174	1
Otu175	1
Otu104	1
Otu147	1
Otu179	1
Otu148	1
Otu63	1
Otu60	1
Otu61	1
Otu41	1
Otu150	1
Otu97	1
Otu62	1
Otu109	1
Otu180	1
Otu145	1
Otu112	1
Otu54	1
Otu169	1
Otu113	1
Otu64	1
Otu65	1
