#OTU ID	M03909
Otu2	143
Otu4	37
Otu5	29
Otu3	28
Otu6	18
Otu10	16
Otu7	11
Otu11	9
Otu30	6
Otu53	5
Otu45	5
Otu97	4
Otu28	4
Otu12	4
Otu89	4
Otu72	4
Otu58	4
Otu138	4
Otu20	4
Otu79	3
Otu17	3
Otu14	3
Otu47	3
Otu29	3
Otu139	2
Otu194	2
Otu31	2
Otu24	2
Otu90	2
Otu164	2
Otu119	2
Otu21	2
Otu60	2
Otu8	2
Otu66	2
Otu82	2
Otu224	2
Otu115	2
Otu158	2
Otu109	2
Otu9	2
Otu92	2
Otu16	1
Otu96	1
Otu184	1
Otu192	1
Otu186	1
Otu13	1
Otu193	1
Otu98	1
Otu27	1
Otu185	1
Otu141	1
Otu102	1
Otu132	1
Otu130	1
Otu87	1
Otu117	1
Otu183	1
Otu99	1
Otu37	1
Otu84	1
Otu25	1
Otu26	1
Otu147	1
Otu23	1
Otu137	1
Otu181	1
Otu219	1
Otu46	1
Otu167	1
Otu32	1
Otu165	1
Otu76	1
Otu74	1
Otu75	1
Otu140	1
Otu15	1
Otu136	1
Otu182	1
Otu190	1
Otu189	1
Otu191	1
Otu22	1
Otu40	1
Otu41	1
Otu94	1
Otu145	1
Otu195	1
Otu39	1
Otu43	1
Otu178	1
Otu179	1
Otu133	1
Otu197	1
Otu113	1
Otu112	1
Otu198	1
Otu196	1
Otu199	1
Otu33	1
Otu144	1
Otu86	1
Otu85	1
Otu34	1
Otu93	1
Otu134	1
Otu177	1
Otu101	1
Otu35	1
Otu128	1
Otu187	1
Otu100	1
Otu36	1
Otu103	1
Otu131	1
Otu129	1
Otu38	1
Otu44	1
Otu180	1
Otu91	1
Otu114	1
Otu146	1
Otu188	1
Otu88	1
Otu95	1
Otu176	1
Otu135	1
Otu42	1
Otu148	1
Otu127	1
Otu49	1
Otu68	1
Otu50	1
Otu126	1
Otu156	1
Otu48	1
Otu215	1
Otu149	1
Otu124	1
Otu203	1
Otu116	1
Otu67	1
Otu200	1
Otu207	1
Otu208	1
Otu152	1
Otu202	1
Otu151	1
Otu125	1
Otu201	1
Otu122	1
Otu106	1
Otu154	1
Otu56	1
Otu110	1
Otu105	1
Otu142	1
Otu52	1
Otu143	1
Otu51	1
Otu153	1
Otu107	1
Otu214	1
Otu159	1
Otu108	1
Otu123	1
Otu157	1
Otu155	1
Otu111	1
Otu212	1
Otu55	1
Otu54	1
Otu213	1
Otu211	1
Otu70	1
Otu172	1
Otu19	1
Otu217	1
Otu163	1
Otu83	1
Otu173	1
Otu80	1
Otu174	1
Otu175	1
Otu63	1
Otu62	1
Otu81	1
Otu160	1
Otu161	1
Otu73	1
Otu166	1
Otu218	1
Otu18	1
Otu216	1
Otu162	1
Otu221	1
Otu222	1
Otu220	1
Otu120	1
Otu205	1
Otu171	1
Otu69	1
Otu204	1
Otu150	1
Otu210	1
Otu71	1
Otu209	1
Otu121	1
Otu206	1
Otu65	1
Otu78	1
Otu168	1
Otu57	1
Otu64	1
Otu77	1
Otu169	1
Otu118	1
Otu59	1
Otu170	1
Otu223	1
Otu104	1
