#OTU ID	M03909
Otu1	270
Otu9	65
Otu7	41
Otu3	34
Otu2	26
Otu6	23
Otu4	18
Otu68	16
Otu40	12
Otu46	12
Otu34	10
Otu13	9
Otu61	9
Otu121	7
Otu20	6
Otu14	6
Otu17	6
Otu86	6
Otu67	5
Otu15	5
Otu104	5
Otu108	5
Otu80	4
Otu48	4
Otu5	4
Otu124	3
Otu191	3
Otu94	3
Otu38	3
Otu30	3
Otu25	3
Otu76	3
Otu72	3
Otu53	3
Otu175	3
Otu158	3
Otu39	2
Otu29	2
Otu97	2
Otu23	2
Otu272	2
Otu142	2
Otu162	2
Otu128	2
Otu10	2
Otu111	2
Otu140	2
Otu171	2
Otu143	2
Otu45	2
Otu166	2
Otu42	2
Otu133	2
Otu28	2
Otu8	2
Otu114	2
Otu224	2
Otu90	2
Otu87	2
Otu16	1
Otu131	1
Otu109	1
Otu129	1
Otu132	1
Otu130	1
Otu12	1
Otu24	1
Otu177	1
Otu173	1
Otu172	1
Otu49	1
Otu107	1
Otu245	1
Otu261	1
Otu115	1
Otu170	1
Otu106	1
Otu255	1
Otu33	1
Otu32	1
Otu258	1
Otu179	1
Otu188	1
Otu256	1
Otu181	1
Otu180	1
Otu259	1
Otu294	1
Otu295	1
Otu184	1
Otu292	1
Otu31	1
Otu260	1
Otu36	1
Otu35	1
Otu102	1
Otu262	1
Otu187	1
Otu18	1
Otu22	1
Otu264	1
Otu103	1
Otu21	1
Otu263	1
Otu185	1
Otu257	1
Otu105	1
Otu186	1
Otu100	1
Otu19	1
Otu101	1
Otu11	1
Otu116	1
Otu118	1
Otu190	1
Otu117	1
Otu189	1
Otu123	1
Otu275	1
Otu43	1
Otu135	1
Otu119	1
Otu271	1
Otu41	1
Otu277	1
Otu120	1
Otu37	1
Otu276	1
Otu44	1
Otu267	1
Otu270	1
Otu193	1
Otu150	1
Otu122	1
Otu147	1
Otu269	1
Otu148	1
Otu194	1
Otu125	1
Otu192	1
Otu265	1
Otu266	1
Otu195	1
Otu196	1
Otu149	1
Otu55	1
Otu253	1
Otu249	1
Otu174	1
Otu176	1
Otu254	1
Otu54	1
Otu252	1
Otu246	1
Otu178	1
Otu248	1
Otu247	1
Otu126	1
Otu127	1
Otu47	1
Otu244	1
Otu198	1
Otu199	1
Otu136	1
Otu274	1
Otu137	1
Otu202	1
Otu134	1
Otu201	1
Otu200	1
Otu250	1
Otu52	1
Otu251	1
Otu56	1
Otu197	1
Otu273	1
Otu51	1
Otu50	1
Otu58	1
Otu163	1
Otu59	1
Otu207	1
Otu204	1
Otu283	1
Otu284	1
Otu161	1
Otu222	1
Otu62	1
Otu279	1
Otu221	1
Otu60	1
Otu223	1
Otu278	1
Otu203	1
Otu282	1
Otu63	1
Otu169	1
Otu64	1
Otu302	1
Otu213	1
Otu281	1
Otu212	1
Otu205	1
Otu285	1
Otu206	1
Otu65	1
Otu208	1
Otu280	1
Otu160	1
Otu214	1
Otu220	1
Otu71	1
Otu152	1
Otu139	1
Otu216	1
Otu73	1
Otu151	1
Otu268	1
Otu146	1
Otu286	1
Otu153	1
Otu219	1
Otu217	1
Otu218	1
Otu215	1
Otu77	1
Otu145	1
Otu75	1
Otu225	1
Otu226	1
Otu66	1
Otu227	1
Otu144	1
Otu69	1
Otu70	1
Otu141	1
Otu288	1
Otu74	1
Otu138	1
Otu287	1
Otu231	1
Otu290	1
Otu82	1
Otu159	1
Otu57	1
Otu291	1
Otu228	1
Otu85	1
Otu238	1
Otu79	1
Otu154	1
Otu239	1
Otu240	1
Otu241	1
Otu84	1
Otu229	1
Otu233	1
Otu234	1
Otu232	1
Otu26	1
Otu293	1
Otu182	1
Otu183	1
Otu113	1
Otu289	1
Otu27	1
Otu230	1
Otu112	1
Otu110	1
Otu235	1
Otu296	1
Otu298	1
Otu210	1
Otu299	1
Otu297	1
Otu168	1
Otu300	1
Otu92	1
Otu211	1
Otu209	1
Otu165	1
Otu301	1
Otu91	1
Otu89	1
Otu164	1
Otu88	1
Otu167	1
Otu96	1
Otu242	1
Otu243	1
Otu95	1
Otu78	1
Otu81	1
Otu303	1
Otu93	1
Otu237	1
Otu155	1
Otu156	1
Otu99	1
Otu157	1
Otu236	1
Otu98	1
